feature,weight,abs_weight,type,aggregation
collaboration_diversity_change,12.739775,12.739775,state,change
collaboration_diversity_last,2.6651523,2.6651523,state,last
collaboration_diversity_trend,0.9276176,0.9276176,state,trend
avg_complexity_30d_max,0.803612,0.803612,state,max
collaboration_diversity_mid_mean,-0.7311171,0.7311171,state,mean
intensity_change,0.61155665,0.61155665,action,change
avg_complexity_30d_volatility,-0.5701262,0.5701262,state,volatility
activity_freq_30d_trend,0.56826985,0.56826985,state,trend
activity_freq_30d_mid_mean,-0.5263112,0.5263112,state,mean
code_churn_7d_change,-0.5231687,0.5231687,state,change
file_type_diversity_volatility,0.49654812,0.49654812,state,volatility
file_type_diversity_max,-0.4892869,0.4892869,state,max
file_type_diversity_trend,0.48362502,0.48362502,state,trend
experience_days_short_mean,-0.48303702,0.48303702,state,mean
avg_interaction_strength_volatility,0.47799143,0.47799143,state,volatility
complexity_mid_mean,-0.45193142,0.45193142,action,mean
timestamp_age_last,-0.44431826,0.44431826,action,last
timestamp_age_change,0.42600644,0.42600644,action,change
change_size_mid_mean,-0.42236942,0.42236942,action,mean
code_churn_7d_last,0.4195096,0.4195096,state,last
activity_freq_7d_mid_mean,-0.41440225,0.41440225,state,mean
complexity_change,0.4129737,0.4129737,action,change
avg_interaction_strength_max,-0.40393132,0.40393132,state,max
response_latency_mean,0.40168962,0.40168962,action,mean
specialization_score_mid_mean,0.4016313,0.4016313,state,mean
specialization_score_trend,-0.39185014,0.39185014,state,trend
avg_interaction_strength_short_mean,0.39045188,0.39045188,state,mean
quality_last,-0.3771967,0.3771967,action,last
activity_freq_90d_mid_mean,0.3758938,0.3758938,state,mean
file_type_diversity_change,-0.37412748,0.37412748,state,change
avg_files_per_change_mid_mean,-0.3737447,0.3737447,state,mean
total_projects_max,0.37365317,0.37365317,state,max
activity_freq_7d_weighted_mean,0.3717455,0.3717455,state,mean
specialization_score_change,0.36641005,0.36641005,state,change
experience_normalized_mid_mean,-0.3571942,0.3571942,state,mean
total_files_touched_trend,0.35203412,0.35203412,state,trend
cross_project_ratio_volatility,-0.34688905,0.34688905,state,volatility
activity_freq_7d_trend,0.34211203,0.34211203,state,trend
activity_freq_7d_change,-0.342005,0.342005,state,change
weekend_activity_ratio_short_mean,-0.33698514,0.33698514,state,mean
consecutive_active_days_mid_mean,0.33602494,0.33602494,state,mean
total_files_touched_mean,-0.324001,0.324001,state,mean
experience_normalized_volatility,0.32313418,0.32313418,state,volatility
peak_activity_hour_min,0.3167788,0.3167788,state,min
avg_lines_per_change_max,-0.30762166,0.30762166,state,max
code_churn_7d_trend,0.30417812,0.30417812,state,trend
activity_freq_7d_short_mean,-0.30376476,0.30376476,state,mean
specialization_score_volatility,-0.30342874,0.30342874,state,volatility
activity_freq_30d_change,-0.30116147,0.30116147,state,change
review_response_time_volatility,0.30089647,0.30089647,state,volatility
avg_review_depth_volatility,0.30016124,0.30016124,state,volatility
response_latency_mid_mean,-0.29966646,0.29966646,action,mean
collaboration_diversity_short_mean,-0.29701912,0.29701912,state,mean
review_load_30d_short_mean,0.293927,0.293927,state,mean
lines_changed_7d_short_mean,-0.2933465,0.2933465,state,mean
response_latency_volatility,-0.29333702,0.29333702,action,volatility
experience_normalized_change,0.29320282,0.29320282,state,change
cross_project_ratio_short_mean,0.28651932,0.28651932,state,mean
weekend_activity_ratio_last,0.28516304,0.28516304,state,last
activity_freq_90d_mean,-0.2826527,0.2826527,state,mean
review_load_30d_change,0.28200763,0.28200763,state,change
avg_code_complexity_last,-0.28181112,0.28181112,state,last
weekend_activity_ratio_trend,0.27972454,0.27972454,state,trend
quality_change,0.27358705,0.27358705,action,change
collaboration_last,-0.2728089,0.2728089,action,last
file_type_diversity_mid_mean,-0.2722025,0.2722025,state,mean
consecutive_active_days_short_mean,-0.27058563,0.27058563,state,mean
experience_normalized_last,-0.27049723,0.27049723,state,last
review_participation_rate_short_mean,-0.26977113,0.26977113,state,mean
code_churn_30d_mean,-0.26570356,0.26570356,state,mean
avg_code_complexity_mean,0.26478526,0.26478526,state,mean
review_load_30d_min,-0.26474077,0.26474077,state,min
collaboration_diversity_volatility,0.2621737,0.2621737,state,volatility
avg_interaction_strength_change,-0.2609973,0.2609973,state,change
files_count_trend,-0.25906855,0.25906855,action,trend
review_load_7d_last,-0.25822896,0.25822896,state,last
review_load_7d_weighted_mean,-0.25793928,0.25793928,state,mean
review_load_7d_short_mean,0.25781408,0.25781408,state,mean
total_changes_trend,-0.25451866,0.25451866,state,trend
avg_complexity_30d_mid_mean,-0.25428212,0.25428212,state,mean
review_response_time_weighted_mean,-0.2539861,0.2539861,state,mean
review_load_7d_max,0.2537865,0.2537865,state,max
experience_days_volatility,-0.25064915,0.25064915,state,volatility
avg_code_complexity_volatility,-0.25031394,0.25031394,state,volatility
avg_complexity_30d_trend,0.24633546,0.24633546,state,trend
avg_files_per_change_weighted_mean,0.24372847,0.24372847,state,mean
collaboration_short_mean,0.2431593,0.2431593,action,mean
avg_files_per_change_mean,0.24126826,0.24126826,state,mean
total_files_touched_max,0.24087174,0.24087174,state,max
review_response_time_short_mean,0.23969722,0.23969722,state,mean
review_load_30d_trend,-0.23957899,0.23957899,state,trend
review_response_time_min,0.2386682,0.2386682,state,min
avg_complexity_7d_mid_mean,0.23820977,0.23820977,state,mean
complexity_mean,0.23774266,0.23774266,action,mean
avg_lines_per_change_mid_mean,-0.23703806,0.23703806,state,mean
change_size_short_mean,0.23059945,0.23059945,action,mean
avg_code_complexity_short_mean,-0.22911827,0.22911827,state,mean
activity_freq_30d_short_mean,-0.22881982,0.22881982,state,mean
activity_freq_30d_weighted_mean,0.22855198,0.22855198,state,mean
weekend_activity_ratio_volatility,0.22471471,0.22471471,state,volatility
avg_complexity_7d_change,0.22235665,0.22235665,state,change
avg_review_depth_mid_mean,-0.21840471,0.21840471,state,mean
experience_normalized_min,0.21442994,0.21442994,state,min
avg_complexity_30d_short_mean,-0.21213262,0.21213262,state,mean
weekend_activity_ratio_change,-0.21150023,0.21150023,state,change
avg_review_depth_min,-0.20908391,0.20908391,state,min
experience_days_last,0.20828246,0.20828246,state,last
consecutive_active_days_last,0.20801388,0.20801388,state,last
activity_freq_7d_last,0.20716675,0.20716675,state,last
avg_complexity_7d_last,-0.20437112,0.20437112,state,last
total_projects_mean,-0.2037564,0.2037564,state,mean
timestamp_age_mid_mean,0.20162156,0.20162156,action,mean
avg_review_depth_max,-0.20105642,0.20105642,state,max
specialization_score_max,0.19852266,0.19852266,state,max
intensity_trend,-0.19740891,0.19740891,action,trend
files_count_mean,0.19643086,0.19643086,action,mean
cross_project_ratio_mean,0.19366229,0.19366229,state,mean
collaboration_diversity_max,0.19313738,0.19313738,state,max
intensity_weighted_mean,-0.19298457,0.19298457,action,mean
total_changes_change,0.19187148,0.19187148,state,change
quality_mean,0.1898273,0.1898273,action,mean
review_response_time_last,-0.18898927,0.18898927,state,last
unique_collaborators_short_mean,-0.18786444,0.18786444,state,mean
collaboration_diversity_mean,-0.18720555,0.18720555,state,mean
weekend_activity_ratio_mid_mean,0.18672022,0.18672022,state,mean
consecutive_active_days_trend,-0.18573134,0.18573134,state,trend
avg_code_complexity_weighted_mean,0.18440756,0.18440756,state,mean
consecutive_active_days_volatility,-0.18391745,0.18391745,state,volatility
avg_files_per_change_min,-0.18063618,0.18063618,state,min
weekend_activity_ratio_mean,-0.18056291,0.18056291,state,mean
multi_file_change_ratio_last,-0.18005909,0.18005909,state,last
quality_volatility,0.17713648,0.17713648,action,volatility
file_type_diversity_short_mean,-0.1766851,0.1766851,state,mean
file_type_diversity_weighted_mean,0.17577162,0.17577162,state,mean
avg_lines_per_change_volatility,0.17453773,0.17453773,state,volatility
quality_weighted_mean,0.17409274,0.17409274,action,mean
code_churn_7d_mean,0.17381737,0.17381737,state,mean
code_churn_7d_min,-0.17329293,0.17329293,state,min
review_response_time_mid_mean,-0.17302196,0.17302196,state,mean
specialization_score_last,-0.17106865,0.17106865,state,last
activity_freq_30d_max,-0.17091602,0.17091602,state,max
avg_directory_depth_min,-0.169896,0.169896,state,min
unique_collaborators_last,0.16703896,0.16703896,state,last
quality_short_mean,0.16660894,0.16660894,action,mean
intensity_last,-0.16452491,0.16452491,action,last
activity_freq_90d_last,-0.16442755,0.16442755,state,last
avg_directory_depth_trend,-0.16260159,0.16260159,state,trend
review_participation_rate_mid_mean,0.16222775,0.16222775,state,mean
quality_mid_mean,-0.16116808,0.16116808,action,mean
response_latency_trend,0.15998255,0.15998255,action,trend
code_churn_30d_mid_mean,0.15783761,0.15783761,state,mean
avg_lines_per_change_mean,0.15723854,0.15723854,state,mean
timestamp_age_trend,-0.15597838,0.15597838,action,trend
review_load_7d_change,0.15577215,0.15577215,state,change
response_latency_last,-0.15531711,0.15531711,action,last
lines_changed_7d_volatility,0.15407881,0.15407881,state,volatility
complexity_last,-0.15394245,0.15394245,action,last
review_participation_rate_last,-0.1537975,0.1537975,state,last
lines_changed_7d_last,0.15230913,0.15230913,state,last
activity_freq_7d_volatility,-0.1509127,0.1509127,state,volatility
experience_normalized_short_mean,0.15075213,0.15075213,state,mean
avg_directory_depth_last,-0.15073226,0.15073226,state,last
review_response_time_max,-0.15056667,0.15056667,state,max
timestamp_age_short_mean,0.14875169,0.14875169,action,mean
review_load_7d_min,-0.14867258,0.14867258,state,min
activity_freq_7d_mean,0.14849705,0.14849705,state,mean
experience_days_mean,0.14630315,0.14630315,state,mean
code_churn_7d_mid_mean,-0.14613336,0.14613336,state,mean
total_files_touched_short_mean,0.14601217,0.14601217,state,mean
total_projects_last,-0.14580841,0.14580841,state,last
code_churn_7d_volatility,-0.14574178,0.14574178,state,volatility
cross_project_ratio_last,-0.144219,0.144219,state,last
collaboration_max,0.14421438,0.14421438,action,max
timestamp_age_max,-0.14339165,0.14339165,action,max
cross_project_ratio_mid_mean,-0.14318745,0.14318745,state,mean
avg_review_depth_short_mean,-0.14127415,0.14127415,state,mean
avg_lines_per_change_change,-0.14093556,0.14093556,state,change
avg_complexity_30d_min,0.13973908,0.13973908,state,min
peak_activity_hour_mean,-0.13921702,0.13921702,state,mean
peak_activity_hour_volatility,0.1389263,0.1389263,state,volatility
avg_files_per_change_volatility,-0.13859251,0.13859251,state,volatility
review_load_7d_mean,-0.13797441,0.13797441,state,mean
activity_freq_90d_min,0.1379664,0.1379664,state,min
avg_code_complexity_change,0.13789475,0.13789475,state,change
intensity_max,-0.13788153,0.13788153,action,max
avg_code_complexity_trend,0.13763277,0.13763277,state,trend
code_churn_30d_max,0.1369888,0.1369888,state,max
collaboration_trend,0.13697933,0.13697933,action,trend
collaboration_change,0.13690186,0.13690186,action,change
file_type_diversity_mean,-0.1368638,0.1368638,state,mean
unique_collaborators_mid_mean,0.13642724,0.13642724,state,mean
review_participation_rate_change,0.13636866,0.13636866,state,change
peak_activity_hour_weighted_mean,-0.13597225,0.13597225,state,mean
activity_freq_90d_weighted_mean,-0.13500449,0.13500449,state,mean
change_size_weighted_mean,0.13456206,0.13456206,action,mean
total_projects_short_mean,0.13441572,0.13441572,state,mean
review_load_30d_mean,-0.13423678,0.13423678,state,mean
total_changes_max,-0.13387036,0.13387036,state,max
intensity_mean,0.13372469,0.13372469,action,mean
code_churn_30d_short_mean,-0.13046332,0.13046332,state,mean
avg_complexity_7d_max,-0.12994675,0.12994675,state,max
avg_code_complexity_min,-0.12970655,0.12970655,state,min
complexity_weighted_mean,0.12899709,0.12899709,action,mean
code_churn_7d_short_mean,-0.1284729,0.1284729,state,mean
total_files_touched_min,0.12601033,0.12601033,state,min
review_load_7d_trend,-0.12568367,0.12568367,state,trend
avg_interaction_strength_min,-0.124784276,0.124784276,state,min
multi_file_change_ratio_mean,0.124627,0.124627,state,mean
code_churn_30d_last,0.12304096,0.12304096,state,last
avg_complexity_30d_last,-0.12177594,0.12177594,state,last
avg_directory_depth_max,0.120247714,0.120247714,state,max
files_count_short_mean,-0.11916592,0.11916592,action,mean
consecutive_active_days_weighted_mean,-0.11867236,0.11867236,state,mean
experience_normalized_trend,0.11852571,0.11852571,state,trend
avg_lines_per_change_weighted_mean,0.11712136,0.11712136,state,mean
unique_collaborators_trend,-0.117044926,0.117044926,state,trend
response_latency_weighted_mean,0.116112754,0.116112754,action,mean
avg_complexity_7d_mean,-0.11599179,0.11599179,state,mean
response_latency_short_mean,-0.11566069,0.11566069,action,mean
lines_changed_7d_mid_mean,0.11524171,0.11524171,state,mean
code_churn_30d_trend,-0.11469409,0.11469409,state,trend
code_churn_30d_change,-0.11340719,0.11340719,state,change
review_participation_rate_mean,0.11331168,0.11331168,state,mean
review_load_30d_volatility,-0.112410575,0.112410575,state,volatility
multi_file_change_ratio_mid_mean,-0.11081806,0.11081806,state,mean
avg_code_complexity_mid_mean,-0.11080332,0.11080332,state,mean
activity_freq_30d_mean,0.11033298,0.11033298,state,mean
avg_files_per_change_last,0.11002467,0.11002467,state,last
avg_interaction_strength_trend,-0.109896444,0.109896444,state,trend
quality_trend,-0.10865659,0.10865659,action,trend
avg_complexity_7d_trend,-0.10840206,0.10840206,state,trend
review_response_time_mean,-0.10833996,0.10833996,state,mean
response_latency_change,0.107499816,0.107499816,action,change
total_files_touched_change,-0.10652491,0.10652491,state,change
unique_collaborators_min,-0.104573116,0.104573116,state,min
collaboration_volatility,0.10182268,0.10182268,action,volatility
experience_days_weighted_mean,0.10179404,0.10179404,state,mean
experience_days_mid_mean,0.10024529,0.10024529,state,mean
activity_freq_90d_change,0.09964727,0.09964727,state,change
complexity_min,0.09765737,0.09765737,action,min
lines_changed_7d_trend,-0.09629351,0.09629351,state,trend
files_count_mid_mean,-0.09561578,0.09561578,action,mean
peak_activity_hour_trend,0.09498445,0.09498445,state,trend
multi_file_change_ratio_volatility,0.09497083,0.09497083,state,volatility
avg_directory_depth_short_mean,0.09496197,0.09496197,state,mean
avg_directory_depth_volatility,-0.093597054,0.093597054,state,volatility
avg_lines_per_change_short_mean,0.091508694,0.091508694,state,mean
total_projects_volatility,-0.091421865,0.091421865,state,volatility
total_changes_mean,0.09040887,0.09040887,state,mean
change_size_volatility,0.089194596,0.089194596,action,volatility
consecutive_active_days_mean,0.089186504,0.089186504,state,mean
quality_min,0.08891559,0.08891559,action,min
avg_files_per_change_short_mean,-0.08807868,0.08807868,state,mean
lines_changed_7d_min,0.08725168,0.08725168,state,min
review_participation_rate_min,0.08716432,0.08716432,state,min
total_files_touched_weighted_mean,-0.08711046,0.08711046,state,mean
change_size_mean,0.087080956,0.087080956,action,mean
experience_normalized_weighted_mean,0.086973086,0.086973086,state,mean
avg_lines_per_change_last,0.08693136,0.08693136,state,last
unique_collaborators_change,-0.086344644,0.086344644,state,change
review_participation_rate_trend,0.08627247,0.08627247,state,trend
avg_interaction_strength_mean,-0.08535219,0.08535219,state,mean
total_files_touched_mid_mean,-0.08517941,0.08517941,state,mean
experience_normalized_max,-0.08477844,0.08477844,state,max
multi_file_change_ratio_trend,-0.08438519,0.08438519,state,trend
change_size_last,0.08345811,0.08345811,action,last
specialization_score_weighted_mean,-0.08179362,0.08179362,state,mean
total_changes_min,-0.08122059,0.08122059,state,min
unique_collaborators_max,0.080884956,0.080884956,state,max
intensity_short_mean,0.08086376,0.08086376,action,mean
peak_activity_hour_last,-0.0808622,0.0808622,state,last
total_files_touched_last,-0.079977706,0.079977706,state,last
response_latency_min,0.07993556,0.07993556,action,min
review_participation_rate_volatility,-0.07853794,0.07853794,state,volatility
lines_changed_7d_mean,0.07746077,0.07746077,state,mean
avg_complexity_30d_mean,0.076386094,0.076386094,state,mean
intensity_mid_mean,-0.076118,0.076118,action,mean
activity_freq_7d_max,-0.07392835,0.07392835,state,max
change_size_trend,-0.07380067,0.07380067,action,trend
avg_review_depth_weighted_mean,0.07186722,0.07186722,state,mean
collaboration_diversity_weighted_mean,0.07157745,0.07157745,state,mean
cross_project_ratio_change,0.070884354,0.070884354,state,change
avg_files_per_change_max,0.0682543,0.0682543,state,max
change_size_change,0.06823759,0.06823759,action,change
total_projects_change,-0.067787535,0.067787535,state,change
timestamp_age_weighted_mean,-0.06751606,0.06751606,action,mean
peak_activity_hour_mid_mean,-0.06704641,0.06704641,state,mean
multi_file_change_ratio_min,0.066433616,0.066433616,state,min
total_projects_weighted_mean,-0.06640663,0.06640663,state,mean
change_size_max,-0.06590054,0.06590054,action,max
review_load_30d_last,0.06499205,0.06499205,state,last
avg_review_depth_mean,-0.064131565,0.064131565,state,mean
avg_complexity_7d_short_mean,0.064065985,0.064065985,state,mean
activity_freq_90d_volatility,-0.06389585,0.06389585,state,volatility
review_load_30d_max,-0.06285069,0.06285069,state,max
code_churn_30d_min,-0.062794946,0.062794946,state,min
code_churn_30d_volatility,0.062151086,0.062151086,state,volatility
avg_interaction_strength_last,0.0615724,0.0615724,state,last
experience_normalized_mean,0.06154902,0.06154902,state,mean
weekend_activity_ratio_max,-0.059931,0.059931,state,max
avg_directory_depth_mean,0.05951529,0.05951529,state,mean
review_load_7d_mid_mean,0.058881756,0.058881756,state,mean
avg_complexity_7d_volatility,0.05829801,0.05829801,state,volatility
avg_files_per_change_trend,-0.058046952,0.058046952,state,trend
files_count_last,-0.05713653,0.05713653,action,last
avg_files_per_change_change,-0.056907997,0.056907997,state,change
specialization_score_short_mean,-0.056885216,0.056885216,state,mean
lines_changed_7d_max,-0.056008305,0.056008305,state,max
quality_max,-0.055591263,0.055591263,action,max
files_count_weighted_mean,0.05419622,0.05419622,action,mean
multi_file_change_ratio_short_mean,-0.053729888,0.053729888,state,mean
cross_project_ratio_weighted_mean,0.053579107,0.053579107,state,mean
review_participation_rate_max,0.053373136,0.053373136,state,max
collaboration_mean,-0.0529066,0.0529066,action,mean
avg_lines_per_change_min,-0.049362414,0.049362414,state,min
review_participation_rate_weighted_mean,0.049300507,0.049300507,state,mean
consecutive_active_days_max,0.04628628,0.04628628,state,max
avg_directory_depth_mid_mean,-0.04599723,0.04599723,state,mean
total_projects_trend,0.04553652,0.04553652,state,trend
lines_changed_7d_weighted_mean,0.045465346,0.045465346,state,mean
total_files_touched_volatility,0.04507911,0.04507911,state,volatility
files_count_min,-0.044192873,0.044192873,action,min
activity_freq_90d_max,0.0440453,0.0440453,state,max
total_projects_mid_mean,0.04295892,0.04295892,state,mean
avg_lines_per_change_trend,0.041379698,0.041379698,state,trend
complexity_volatility,0.041304532,0.041304532,action,volatility
avg_directory_depth_weighted_mean,-0.04125812,0.04125812,state,mean
avg_review_depth_last,-0.04123543,0.04123543,state,last
avg_review_depth_change,-0.040922403,0.040922403,state,change
collaboration_diversity_min,0.040215235,0.040215235,state,min
response_latency_max,-0.03976126,0.03976126,action,max
multi_file_change_ratio_max,-0.03945174,0.03945174,state,max
review_response_time_trend,0.03806977,0.03806977,state,trend
cross_project_ratio_max,0.036735654,0.036735654,state,max
avg_complexity_7d_weighted_mean,0.036569107,0.036569107,state,mean
consecutive_active_days_change,0.035521187,0.035521187,state,change
collaboration_min,0.03521141,0.03521141,action,min
timestamp_age_mean,0.0341964,0.0341964,action,mean
experience_days_min,0.033941705,0.033941705,state,min
intensity_volatility,0.03380389,0.03380389,action,volatility
activity_freq_7d_min,0.03312493,0.03312493,state,min
multi_file_change_ratio_change,0.032699488,0.032699488,state,change
timestamp_age_volatility,-0.032598343,0.032598343,action,volatility
total_changes_volatility,0.032309577,0.032309577,state,volatility
activity_freq_90d_trend,0.031988982,0.031988982,state,trend
complexity_short_mean,0.031718586,0.031718586,action,mean
avg_complexity_7d_min,-0.031090163,0.031090163,state,min
avg_complexity_30d_weighted_mean,0.029778372,0.029778372,state,mean
code_churn_7d_max,0.029311383,0.029311383,state,max
peak_activity_hour_short_mean,0.02841509,0.02841509,state,mean
change_size_min,0.02758952,0.02758952,action,min
activity_freq_30d_min,0.027084783,0.027084783,state,min
experience_days_change,-0.026365034,0.026365034,state,change
review_response_time_change,-0.0263556,0.0263556,state,change
review_load_7d_volatility,0.026227798,0.026227798,state,volatility
unique_collaborators_volatility,0.025823716,0.025823716,state,volatility
code_churn_30d_weighted_mean,-0.025821794,0.025821794,state,mean
file_type_diversity_last,0.024988653,0.024988653,state,last
complexity_trend,-0.024866607,0.024866607,action,trend
file_type_diversity_min,0.023831591,0.023831591,state,min
total_changes_weighted_mean,0.023782652,0.023782652,state,mean
experience_days_max,-0.023239475,0.023239475,state,max
cross_project_ratio_trend,-0.022464842,0.022464842,state,trend
consecutive_active_days_min,0.022374017,0.022374017,state,min
activity_freq_30d_volatility,0.021816391,0.021816391,state,volatility
avg_complexity_30d_change,0.020908963,0.020908963,state,change
avg_directory_depth_change,0.019851713,0.019851713,state,change
avg_code_complexity_max,-0.019177666,0.019177666,state,max
weekend_activity_ratio_weighted_mean,-0.018942924,0.018942924,state,mean
weekend_activity_ratio_min,0.018817391,0.018817391,state,min
code_churn_7d_weighted_mean,-0.016929138,0.016929138,state,mean
activity_freq_90d_short_mean,0.015754411,0.015754411,state,mean
review_load_30d_weighted_mean,-0.015704997,0.015704997,state,mean
activity_freq_30d_last,-0.015474999,0.015474999,state,last
files_count_max,0.015368128,0.015368128,action,max
collaboration_mid_mean,-0.015185088,0.015185088,action,mean
complexity_max,0.015063623,0.015063623,action,max
avg_review_depth_trend,-0.01270245,0.01270245,state,trend
peak_activity_hour_max,-0.012388495,0.012388495,state,max
avg_interaction_strength_weighted_mean,0.0122464765,0.0122464765,state,mean
experience_days_trend,0.011891616,0.011891616,state,trend
lines_changed_7d_change,0.010141926,0.010141926,state,change
timestamp_age_min,0.009907,0.009907,action,min
specialization_score_mean,0.009150717,0.009150717,state,mean
unique_collaborators_mean,-0.009098698,0.009098698,state,mean
files_count_change,0.008641286,0.008641286,action,change
files_count_volatility,0.007769604,0.007769604,action,volatility
unique_collaborators_weighted_mean,-0.007448997,0.007448997,state,mean
cross_project_ratio_min,-0.0063139037,0.0063139037,state,min
specialization_score_min,0.0053753615,0.0053753615,state,min
collaboration_weighted_mean,0.00517699,0.00517699,action,mean
total_changes_mid_mean,-0.0029323413,0.0029323413,state,mean
total_projects_min,-0.002882629,0.002882629,state,min
intensity_min,-0.0020136407,0.0020136407,action,min
total_changes_short_mean,-0.0019941407,0.0019941407,state,mean
multi_file_change_ratio_weighted_mean,-0.0019507144,0.0019507144,state,mean
peak_activity_hour_change,-0.001473129,0.001473129,state,change
avg_interaction_strength_mid_mean,0.0012084254,0.0012084254,state,mean
total_changes_last,0.0002017254,0.0002017254,state,last
review_load_30d_mid_mean,0.0001924613,0.0001924613,state,mean
action_type_mid_mean,0.0,0.0,action,mean
action_type_trend,0.0,0.0,action,trend
action_type_change,0.0,0.0,action,change
action_type_short_mean,0.0,0.0,action,mean
action_type_volatility,0.0,0.0,action,volatility
action_type_max,0.0,0.0,action,max
action_type_min,0.0,0.0,action,min
action_type_weighted_mean,0.0,0.0,action,mean
action_type_mean,0.0,0.0,action,mean
action_type_last,0.0,0.0,action,last
